restid,itemname,description,sentence
582,Chicken Rendang Indonesian Style ,Tender meat in a rich home made curry sauce topped with coconut flacks,Chicken Rendang Indonesian Style Tender meat in a rich home made curry sauce topped with coconut flacks
582,Chicken Teriyaki Japanese Style ,Marinated then grilled in house delicious teriyaki sauce  Served with stir fried vegetables ,Chicken Teriyaki Japanese Style Marinated then grilled in house delicious teriyaki sauce  Served with stir fried vegetables
582,Chicken Sizzling,Sauteed chicken with assorted vegetables in hot chili basil sauce,Chicken Sizzling Sauteed chicken with assorted vegetables in hot chili basil sauce
582,Chicken or Tofu Spicy Mango and Walnuts,Sauteed fresh mango chunks assorted vegetables and walnuts in a delicious mango sauce,Chicken or Tofu Spicy Mango and Walnuts Sauteed fresh mango chunks assorted vegetables and walnuts in a delicious mango sauce
582,Tropical Nuts,Sauteed sliced chicken with mango pineapple carrot bell pepper baby corn walnuts and cashew nuts in a tropical cinnamon sauce,Tropical Nuts Sauteed sliced chicken with mango pineapple carrot bell pepper baby corn walnuts and cashew nuts in a tropical cinnamon sauce
582,Lime Chicken,Crispy chicken topped with orange lime ginger sauce served with steamed vegetables,Lime Chicken Crispy chicken topped with orange lime ginger sauce served with steamed vegetables
582,Garlic Honey Pork,Grilled marinated garlic pork served steamed fresh vegetables,Garlic Honey Pork Grilled marinated garlic pork served steamed fresh vegetables
582,Bangkok Garden Dieter's Special ,Steamed fresh assorted vegetables,Bangkok Garden Dieter's Special Steamed fresh assorted vegetables
582,Green Wood Dieter's Special ,Steamed fresh string beans broccoli zucchini and nuts,Green Wood Dieter's Special Steamed fresh string beans broccoli zucchini and nuts
582,Rama Garden Dieter's Special ,Your choice of chicken tofu shrimp or beef with steamed fresh assorted vegetables,Rama Garden Dieter's Special Your choice of chicken tofu shrimp or beef with steamed fresh assorted vegetables
582,Chicken and Shrimp Pad Thai Noodle,,
582,Chicken Pad Thai Noodle,,
582,Shrimp Pad Thai Noodle,,
582,Tofu Pad Thai Noodle,,
582,Vegetables Pad Thai Noodle,,
582,Tofu and Vegetables Pad Thai Noodle,,
582,Crispy Chicken Pad Thai Noodle,,
582,Crispy Shrimp Pad Thai Noodle,,
582,Crispy Fish Pad Thai Noodle,,
582,Seafood Shrimp Scallop and Squid Pad Thai Noodle,The most famous Thai rice noodle stir fried with egg bean sprouts and scallions topped with ground peanuts,Seafood Shrimp Scallop and Squid Pad Thai Noodle The most famous Thai rice noodle stir fried with egg bean sprouts and scallions topped with ground peanuts
582,Cashew Nut Pad Thai Noodle Chicken and Shrimp ,,
582,Wheat Noodle Pad Thai Noodle with Choice of Meat ,,
582,Crispy Pad Thai Noodle Shrimp and Chicken ,Crispy egg noodle stir fried with egg bean sprouts and scallions topped with ground peanuts,Crispy Pad Thai Noodle Shrimp and Chicken Crispy egg noodle stir fried with egg bean sprouts and scallions topped with ground peanuts
582,Beacon Pad Thai Noodle,Our famous pad Thai stir fried with crispy beacon,Beacon Pad Thai Noodle Our famous pad Thai stir fried with crispy beacon
582,Tom Yum Pad Thai Noodle Chicken and Shrimp ,Our famous pad Thai stir fried with hot and sour tom yum paste,Tom Yum Pad Thai Noodle Chicken and Shrimp Our famous pad Thai stir fried with hot and sour tom yum paste
582,Puket Noodle Drunken Noodle ,Stir fried with wide rice noodles egg assorted vegetables in a spicy Thai basil sauce,Puket Noodle Drunken Noodle Stir fried with wide rice noodles egg assorted vegetables in a spicy Thai basil sauce
582,Pad Se Iew Noodle,Stir fried with wide rice noodle broccoli Chinese broccoli and egg in black sauce,Pad Se Iew Noodle Stir fried with wide rice noodle broccoli Chinese broccoli and egg in black sauce
582,Hot and Spicy Drunken Noodle Thai Style ,Stir fried wide rice noodle with minced chicken onion mushroom baby corn and pepper in a hot and spicy basil sauce,Hot and Spicy Drunken Noodle Thai Style Stir fried wide rice noodle with minced chicken onion mushroom baby corn and pepper in a hot and spicy basil sauce
582,Oak Square Noodle,Stir fried wheat noodle with shrimp chicken snow pea onion baby corn bean sprout and scallion in garlic sauce,Oak Square Noodle Stir fried wheat noodle with shrimp chicken snow pea onion baby corn bean sprout and scallion in garlic sauce
582,Pad Woon Sen Noodle,Cellophane noodles stir fried with shrimp and chicken egg assorted vegetables in brown sauce,Pad Woon Sen Noodle Cellophane noodles stir fried with shrimp and chicken egg assorted vegetables in brown sauce
582,BKK Noodle,Wheat noodle stir fried with shrimp chicken and assorted vegetables in mild red country sauce,BKK Noodle Wheat noodle stir fried with shrimp chicken and assorted vegetables in mild red country sauce
582,Curry Noodle,Yellow noodle with shrimp chicken bell pepper and zucchini in creamy yellow curry,Curry Noodle Yellow noodle with shrimp chicken bell pepper and zucchini in creamy yellow curry
582,Mee Siam Noodle,Stir fried thin rice noodle with shrimp chicken egg onion snow pea baby corn bean sprouts and scallion,Mee Siam Noodle Stir fried thin rice noodle with shrimp chicken egg onion snow pea baby corn bean sprouts and scallion
582,Singapore Noodle Singapore Style ,Stir fried thin rice noodle with chicken shrimp bean sprout egg onion scallion and a sprinkle of curry powder,Singapore Noodle Singapore Style Stir fried thin rice noodle with chicken shrimp bean sprout egg onion scallion and a sprinkle of curry powder
582,Penang Noodle Malaysianstyle ,Stir fried flat rice noodle with shrimp chicken egg bean sprout ground peanut in Malaysian sauce,Penang Noodle Malaysianstyle Stir fried flat rice noodle with shrimp chicken egg bean sprout ground peanut in Malaysian sauce
582,Pik Pow Noodle,Stir fried yellow noodle with chicken and shrimp and assorted vegetables in a testy pik pow sauce,Pik Pow Noodle Stir fried yellow noodle with chicken and shrimp and assorted vegetables in a testy pik pow sauce
586,Grilled Oz Ribeye Steak with Garlic Butter and Mashed Potatoes,,
592,Whiting Fish,,
582,Yaki Soba Noodle Japanese Style  Chicken or Tofu,Stir fried yellow noodle with vegetable in Japanese sesame sauce,Yaki Soba Noodle Japanese Style  Chicken or Tofu Stir fried yellow noodle with vegetable in Japanese sesame sauce
582,Mongolian Noodle,Crispy egg noodle topped bamboo shoots baby corn snow pea and mushroom in Mongolian sesame sauce,Mongolian Noodle Crispy egg noodle topped bamboo shoots baby corn snow pea and mushroom in Mongolian sesame sauce
582,Noodle Soup,Rice noodle with bean sprouts scallions toast garlic in a light broth,Noodle Soup Rice noodle with bean sprouts scallions toast garlic in a light broth
582,Thai Fried Rice,Fried rice with onions green peas scallions carrot and egg,Thai Fried Rice Fried rice with onions green peas scallions carrot and egg
582,Spicy Thai Fried Rice,,
582,Sahara Basil Fried Rice,Fried rice with assorted vegetables egg sweet basil leaves in a hot basil chili sauce,Sahara Basil Fried Rice Fried rice with assorted vegetables egg sweet basil leaves in a hot basil chili sauce
582,Pineapple Fried Rice,With shrimp chicken pineapples onions carrot raisins egg and curry powder,Pineapple Fried Rice With shrimp chicken pineapples onions carrot raisins egg and curry powder
582,Indonesian Fried Rice,In a mild Indonesian curry sauce topped with fried egg and crispy chicken,Indonesian Fried Rice In a mild Indonesian curry sauce topped with fried egg and crispy chicken
582,Mango Fried Rice,Chicken egg fresh mango chunks onion carrot and scallion and topped with cashew nut,Mango Fried Rice Chicken egg fresh mango chunks onion carrot and scallion and topped with cashew nut
582,Hawaiian Fried Rice,Chicken shrimp egg mango pineapple corn onion carrot scallion and topped with cashew nuts,Hawaiian Fried Rice Chicken shrimp egg mango pineapple corn onion carrot scallion and topped with cashew nuts
582,JJ Fried Rice,With shrimp chicken egg onion carrot and bean sprout in mild sriracha sauce,JJ Fried Rice With shrimp chicken egg onion carrot and bean sprout in mild sriracha sauce
582,Pik Pow Fried Rice,With chicken  shrimp egg and assorted vegetables in famous tasty pik pow sauce,Pik Pow Fried Rice With chicken  shrimp egg and assorted vegetables in famous tasty pik pow sauce
582,Cape Cod Fried Rice,With chicken juicy dry cranberry egg carrot onion and pea,Cape Cod Fried Rice With chicken juicy dry cranberry egg carrot onion and pea
582,Tom Yum Fried Rice,With shrimp chicken egg onion carrot and scallion in a famous tom yum paste,Tom Yum Fried Rice With shrimp chicken egg onion carrot and scallion in a famous tom yum paste
582,Garlic Fried Rice,Fried rice with delicately minced fresh garlic egg corn pea  Your choice of crispy chicken or crispy shrimp ,Garlic Fried Rice Fried rice with delicately minced fresh garlic egg corn pea  Your choice of crispy chicken or crispy shrimp
582,Steam Jasmine Rice,,
582,Brown Rice,,
582,Steam Rice Noodle,,
582,Sticky Rice,,
582,Wheat Noodle,,
582,Yellow Noodle,,
582,Peanut Sauce  Oz ,,
582,Spicy Sweet Chili Sauce  Oz ,,
582,Mango with Sweet Coconut Sticky Rice,,
582,Ice Cream,Coconut ginger or green tea ,Ice Cream Coconut ginger or green tea
582,Fried Banana,Crispy on the outside warm and melting on the inside topped with honey and sesame seed ,Fried Banana Crispy on the outside warm and melting on the inside topped with honey and sesame seed
582,Butterscotch Noodle Sticks,Enjoy them as a snack or dessert homemade noodle sticks and peanuts coated with a butter scotch glaze ,Butterscotch Noodle Sticks Enjoy them as a snack or dessert homemade noodle sticks and peanuts coated with a butter scotch glaze
584,Pate Maison Et Condiments,House pate with garnishes,Pate Maison Et Condiments House pate with garnishes
584,Fricassee De Champignons,Mushroom fricassee,Fricassee De Champignons Mushroom fricassee
584,Gratinee Des Halles,French onion soup,Gratinee Des Halles French onion soup
584,Soupe Du Jour,Soup of the day,Soupe Du Jour Soup of the day
584,Bisque De Homard Au Cognac,Home made lobster bisque,Bisque De Homard Au Cognac Home made lobster bisque
584,Escargots Bourguignonne,Snails in garlic and butter,Escargots Bourguignonne Snails in garlic and butter
584,Duo De Saumons,Smoked salmon and salmon gravlax,Duo De Saumons Smoked salmon and salmon gravlax
584,Foie Gras Frais Au Torchon,Fresh foie gras terrine fleur du sel mango chutney,Foie Gras Frais Au Torchon Fresh foie gras terrine fleur du sel mango chutney
584,Salade De Saison Mixte,Mixed green salad vinaigrette dressing,Salade De Saison Mixte Mixed green salad vinaigrette dressing
584,Salade De Chevre Chaud,Seasonal greens with warm goat cheese,Salade De Chevre Chaud Seasonal greens with warm goat cheese
584,Coeurs De Palmiers,Hearts of palm lemon vinaigrette,Coeurs De Palmiers Hearts of palm lemon vinaigrette
584,Salade De Fenouille,Shaved fennel salad sun dried tomatoes,Salade De Fenouille Shaved fennel salad sun dried tomatoes
584,Salade D Endives Et Canard Fume,Belgium endive salad and cold smoked duck breast,Salade D Endives Et Canard Fume Belgium endive salad and cold smoked duck breast
584,Caesar Salade Poulet,Classic chicken caesar salad,Caesar Salade Poulet Classic chicken caesar salad
584,Salade Pierrot,Avocado mango lobster shrimp crab meat salad with caviar and bloody mary sauce,Salade Pierrot Avocado mango lobster shrimp crab meat salad with caviar and bloody mary sauce
584,Quiche Du Jour,Quiche of the day mixed greens,Quiche Du Jour Quiche of the day mixed greens
584,Omelette Du Jour,Omelet of the day mixed greens,Omelette Du Jour Omelet of the day mixed greens
584,Croque Monsieur Madame ,Grilled ham and cheese sandwich bechamel sauce mixed greens with fried egg ,Croque Monsieur Madame Grilled ham and cheese sandwich bechamel sauce mixed greens with fried egg
584,Tartine Du Jour,Open faced baguette du jour mixed greens,Tartine Du Jour Open faced baguette du jour mixed greens
584,Antipasto a La Francaise,Cold cut meats cheeses and salads,Antipasto a La Francaise Cold cut meats cheeses and salads
584,Boeuf Medaillons Frites,Beef medallions with French fries,Boeuf Medaillons Frites Beef medallions with French fries
584,Saucisse De Toulouse,French sausages ,Saucisse De Toulouse French sausages
584,Canard Confit,Duck confit,Canard Confit Duck confit
586,Baked Stuffed Jumbo Shrimp with Crabmeat Stuffing and Parmesan Capellini,,
584,Steak Tartare Frites,Steak tartare with French fries spicy or not ,Steak Tartare Frites Steak tartare with French fries spicy or not
584,Supreme De Volaille Grille,Grilled chicken breast lemon ginger sauce,Supreme De Volaille Grille Grilled chicken breast lemon ginger sauce
584,Boeuf Bourguignon,Beef burgundy,Boeuf Bourguignon Beef burgundy
584,Escalopine De Veau a La Francaise,Veal scaloppini lemon and butter,Escalopine De Veau a La Francaise Veal scaloppini lemon and butter
584,Risotto Du Jour,Risotto of the da,Risotto Du Jour Risotto of the da
584,Moules Marinieres,Mussels white wine sauce French fries,Moules Marinieres Mussels white wine sauce French fries
584,Poisson Du Jour,Fish of the day,Poisson Du Jour Fish of the day
584,Coquilles St  Jacques,Sautee jumbo sea scallops orange and ginger butter,Coquilles St  Jacques Sautee jumbo sea scallops orange and ginger butter
584,Feuillete De La Mer,Sea food in puff pastry,Feuillete De La Mer Sea food in puff pastry
585,Thai Spring Rolls,Popular crispy spring rolls served w house special turnip sauce  Available vegetarian ,Thai Spring Rolls Popular crispy spring rolls served w house special turnip sauce  Available vegetarian
585,Cozy Shrimp,Delicate whole shrimp spring rolls w house special sauce ,Cozy Shrimp Delicate whole shrimp spring rolls w house special sauce
585,Tod Mun,Minced shrimp mixed w thai spices fried until golden brown served w cucumber sauce topped w crushed peanuts ,Tod Mun Minced shrimp mixed w thai spices fried until golden brown served w cucumber sauce topped w crushed peanuts
585,Satay Chicken or Satay Beef,Charcoal grilled chicken or beef on bamboo skewers  Served w peanut sauce cucumber salad ,Satay Chicken or Satay Beef Charcoal grilled chicken or beef on bamboo skewers  Served w peanut sauce cucumber salad
585,Thai Ravioli,A delightful thai style ravioli w shrimp pork house special ginger sauce  Available steamed or fried ,Thai Ravioli A delightful thai style ravioli w shrimp pork house special ginger sauce  Available steamed or fried
585,Tofu Triangles,Golden fried tofu triangles served w sweet sour sauce crushed peanuts ,Tofu Triangles Golden fried tofu triangles served w sweet sour sauce crushed peanuts
585,Golden Triangles,Vegetable spring rolls in triangle shape w house sweet sour sauce ,Golden Triangles Vegetable spring rolls in triangle shape w house sweet sour sauce
585,Shumai,Homemade shumai filled w shrimp pork vegetables  Served w house ginger sauce ,Shumai Homemade shumai filled w shrimp pork vegetables  Served w house ginger sauce
585,Brown Sugar Spareribs,Charcoal grilled pork ribs lightly glazed w chef's special sauce ,Brown Sugar Spareribs Charcoal grilled pork ribs lightly glazed w chef's special sauce
585,Crab Rangoon,Homemade wonton filled w cream cheese crab meat  Served w sweet sour sauce ,Crab Rangoon Homemade wonton filled w cream cheese crab meat  Served w sweet sour sauce
585,Chive Dumpling,Vegetarian chive dumpling w house special ginger sauce  Steamed or fried ,Chive Dumpling Vegetarian chive dumpling w house special ginger sauce  Steamed or fried
585,Scallion Pancakes,Vegetarian scallion homemade style fried  Served w ginger sauce ,Scallion Pancakes Vegetarian scallion homemade style fried  Served w ginger sauce
585,Tom Yum Goong,Hot sour shrimp soup the famous sour spicy shrimp soup w lemon grass chilies lime juice mushrooms  Available w vegetables or chicken ,Tom Yum Goong Hot sour shrimp soup the famous sour spicy shrimp soup w lemon grass chilies lime juice mushrooms  Available w vegetables or chicken
585,Tom Khar Gai,Chicken coconut soup seasoned w galanga lime juice chilies mushrooms  Available w vegetables ,Tom Khar Gai Chicken coconut soup seasoned w galanga lime juice chilies mushrooms  Available w vegetables
585,Cucumber Egg Drop Soup,Soft cucumber shrimp black mushrooms in egg drop soup w snow peas carrots baby corn ,Cucumber Egg Drop Soup Soft cucumber shrimp black mushrooms in egg drop soup w snow peas carrots baby corn
585,Seafood Rice Soup,Assorted seafood rice in zesty chicken broth complement w celery garlic oil ,Seafood Rice Soup Assorted seafood rice in zesty chicken broth complement w celery garlic oil
585,Brown Sugar Salad,A popular Thai salad dish  charcoal grilled turmeric chicken sliced tofu croutons hard boiled egg slices on bed of garden fresh greens w peanut sauce dressing ,Brown Sugar Salad A popular Thai salad dish  charcoal grilled turmeric chicken sliced tofu croutons hard boiled egg slices on bed of garden fresh greens w peanut sauce dressing
585,Fenway Salad,A garden fresh greens salad w lettuce onions cucumbers tomatoes peppers croutons w house special sauce dressing ,Fenway Salad A garden fresh greens salad w lettuce onions cucumbers tomatoes peppers croutons w house special sauce dressing
585,Som Tum Papaya w Sticky Rice,A popular Thai spicy salad dish blushing fresh shrimps tossed in lime juice small Thai chili w papaya strips minced dry shrimp tomatoes peanuts served w fresh vegetables sticky rice ,Som Tum Papaya w Sticky Rice A popular Thai spicy salad dish blushing fresh shrimps tossed in lime juice small Thai chili w papaya strips minced dry shrimp tomatoes peanuts served w fresh vegetables sticky rice
585,Red Curry,Red curry coconut milk w bamboo shoots Thai eggplants green beans green peppers red peppers sweet basil leaves ,Red Curry Red curry coconut milk w bamboo shoots Thai eggplants green beans green peppers red peppers sweet basil leaves
585,Green Curry,Green curry coconut milk w bamboo shoots Thai eggplants green beans green peppers red peppers green peas sweet basil leaves ,Green Curry Green curry coconut milk w bamboo shoots Thai eggplants green beans green peppers red peppers green peas sweet basil leaves
585,Yellow Curry,Mild yellow curry coconut milk w onions tomatoes summer squash pineapple chunks green peppers ,Yellow Curry Mild yellow curry coconut milk w onions tomatoes summer squash pineapple chunks green peppers
585,Masaman Curry,Masaman curry coconut milk w potatoes butternut squash roasted peanuts onions carrots green peppers ,Masaman Curry Masaman curry coconut milk w potatoes butternut squash roasted peanuts onions carrots green peppers
585,Vegetable Curry,This is a vegetarian curry assorted fresh vegetables w red curry coconut milk basil leaves ,Vegetable Curry This is a vegetarian curry assorted fresh vegetables w red curry coconut milk basil leaves
585,Chicken Cashew Nuts,Sauteed sliced chicken w straw mushrooms pineapple chunks onions scallions roasted cashew nuts ,Chicken Cashew Nuts Sauteed sliced chicken w straw mushrooms pineapple chunks onions scallions roasted cashew nuts
585,Gaprow,Spicy minced chicken or beef in chili garlic sauce w peppers onions sweet basil leaves ,Gaprow Spicy minced chicken or beef in chili garlic sauce w peppers onions sweet basil leaves
585,Spicy String Beans,Tender sliced pork loin in mild red sauce green beans snow peas roasted cashew nuts ground peanuts red peppers ,Spicy String Beans Tender sliced pork loin in mild red sauce green beans snow peas roasted cashew nuts ground peanuts red peppers
585,Brown Sugar Mango Curry,Ripe diced mango simmered w slices of chicken in yellow curry w cherry tomatoes green peppers onions  crispy summer squash ,Brown Sugar Mango Curry Ripe diced mango simmered w slices of chicken in yellow curry w cherry tomatoes green peppers onions  crispy summer squash
585,Siamese Twins,Sauteed sliced chicken fresh shrimp w onions pineapple chunks peppers water chestnuts scallions in hot sweet sour sauce ,Siamese Twins Sauteed sliced chicken fresh shrimp w onions pineapple chunks peppers water chestnuts scallions in hot sweet sour sauce
585,Duck Chili,Sauteed sliced boneless roasted duck in sweet chili sauce w onions pineapple chunks tomatoes shredded ginger straw mushrooms scallions topped w cashew nuts ,Duck Chili Sauteed sliced boneless roasted duck in sweet chili sauce w onions pineapple chunks tomatoes shredded ginger straw mushrooms scallions topped w cashew nuts
585,Fisherman Madness,A sauteed of mixed shrimp squid mussels scallops in hot chili onions mushrooms green red peppers sweet basil leaves w Thai spices herbs ,Fisherman Madness A sauteed of mixed shrimp squid mussels scallops in hot chili onions mushrooms green red peppers sweet basil leaves w Thai spices herbs
585,Shrimp Scampi,Succulent fresh shrimp tossed in traditional Thai spices quick stir fried in yellow curry w onions pineapple chunks scallions egg ,Shrimp Scampi Succulent fresh shrimp tossed in traditional Thai spices quick stir fried in yellow curry w onions pineapple chunks scallions egg
585,Asparagus,Stir fried spear of fresh asparagus mushrooms tomatoes in light house special sauce ,Asparagus Stir fried spear of fresh asparagus mushrooms tomatoes in light house special sauce
585,Basil,Sauteed w onions mushrooms scallions peppers basil leaves in garlic chili sauce ,Basil Sauteed w onions mushrooms scallions peppers basil leaves in garlic chili sauce
585,Ginger,Shredded ginger onions mushrooms peppers scallions in ground yellow bean sauce ,Ginger Shredded ginger onions mushrooms peppers scallions in ground yellow bean sauce
585,Bok Choy,Sauteed fresh bok choy w garlic in light house special sauce ,Bok Choy Sauteed fresh bok choy w garlic in light house special sauce
585,Garlic Thai Style Available Upon Request ,Sauteed w garlic diced onions peppers tomatoes cashew nuts on bed of lettuce ,Garlic Thai Style Available Upon Request Sauteed w garlic diced onions peppers tomatoes cashew nuts on bed of lettuce
585,Chinese Broccoli,Quick stir fried fresh chinese broccoli w garlic in light house special sauce ,Chinese Broccoli Quick stir fried fresh chinese broccoli w garlic in light house special sauce
585,Baby Corn,Baby corn  sliced bamboo shoots scallions mushrooms in oyster sauce ,Baby Corn Baby corn  sliced bamboo shoots scallions mushrooms in oyster sauce
585,Broccoli,Broccoli w black bean sauce mushrooms carrots oyster sauce ,Broccoli Broccoli w black bean sauce mushrooms carrots oyster sauce
585,Pineapple,Pineapples w snow peas tomatoes onions red green peppers curry powder ,Pineapple Pineapples w snow peas tomatoes onions red green peppers curry powder
585,Rama Garden,Steamed w your choice of meat fresh vegetables topped w homemade peanut sauce ,Rama Garden Steamed w your choice of meat fresh vegetables topped w homemade peanut sauce
585,Snow Peas,Snow peas mushrooms tofu scallions in oyster sauce ,Snow Peas Snow peas mushrooms tofu scallions in oyster sauce
585,Spicy Bamboo Shoots,Bamboo shoots w scallions ground hot chili mushrooms assorted peppers ,Spicy Bamboo Shoots Bamboo shoots w scallions ground hot chili mushrooms assorted peppers
585,Sweet Sour,Sweet sour sauce w cucumbers tomatoes pineapple chunks onions scallions peppers ,Sweet Sour Sweet sour sauce w cucumbers tomatoes pineapple chunks onions scallions peppers
585,Vegetable Saute,Sauteed assorted fresh vegetables w garlic oyster sauce ,Vegetable Saute Sauteed assorted fresh vegetables w garlic oyster sauce
585,Look Chin Ping,Charcoal grilled meat balls w your choice of pork or beef topped w house special sweet chili sauce ,Look Chin Ping Charcoal grilled meat balls w your choice of pork or beef topped w house special sweet chili sauce
585,Steamed Mussels,Green shell mussels steamed in aromatic herbs white wine  Served in a clay pot w sweet sour chili dipping sauce ,Steamed Mussels Green shell mussels steamed in aromatic herbs white wine  Served in a clay pot w sweet sour chili dipping sauce
585,Kow Mun Gai,Steamed salt chicken over special garlic rice w spicy black bean sauce on the side  Served w chicken broth melon soup available only sat  Sun   ,Kow Mun Gai Steamed salt chicken over special garlic rice w spicy black bean sauce on the side  Served w chicken broth melon soup available only sat  Sun
585,Kow Moo Dang,Roasted pork bangkok style over rice w crispy pork rind Thai sausage hard boiled egg slices topped w house special red sauce ,Kow Moo Dang Roasted pork bangkok style over rice w crispy pork rind Thai sausage hard boiled egg slices topped w house special red sauce
585,Kow Ka Moo,Braised pork shoulder over rice w sweet green mustard topped w ka moo sauce ,Kow Ka Moo Braised pork shoulder over rice w sweet green mustard topped w ka moo sauce
585,Kow Na Bhed,Roasted duck over rice w stir fried chinese broccoli topped w house special sauce ,Kow Na Bhed Roasted duck over rice w stir fried chinese broccoli topped w house special sauce
585,Kow Na Gai,Chicken w bamboo strips mushrooms baby corn scallions in chef's gravy sauce over rice ,Kow Na Gai Chicken w bamboo strips mushrooms baby corn scallions in chef's gravy sauce over rice
585,Kow Rad Nua Num Mun Hoy,Beef w  oyster sauce mushrooms scallions over rice ,Kow Rad Nua Num Mun Hoy Beef w  oyster sauce mushrooms scallions over rice
585,Kow Rad Moo Pad Prik King,Pork w garlic chili paste green beans over rice ,Kow Rad Moo Pad Prik King Pork w garlic chili paste green beans over rice
585,Kow Rad Ka Na Moo Grob,Crispy pork rind w chinese broccoli over rice ,Kow Rad Ka Na Moo Grob Crispy pork rind w chinese broccoli over rice
585,Kow Rad Moo Grob Pad Ped,Crispy pork rind w spicy herbs hot chili peppers over rice ,Kow Rad Moo Grob Pad Ped Crispy pork rind w spicy herbs hot chili peppers over rice
585,Kow Rad Gaprow Kai Dao,Choose from minced chicken beef pork or crispy pork w Thai spices herbs over rice ,Kow Rad Gaprow Kai Dao Choose from minced chicken beef pork or crispy pork w Thai spices herbs over rice
585,Chive Dumpling,Vegetarian chive dumpling w house special ginger sauce  Steamed or fried ,Chive Dumpling Vegetarian chive dumpling w house special ginger sauce  Steamed or fried
585,Honey Pork,Tender sliced pork loin marinated in garlic oil w tomatoes pineapple baby corn mushrooms snow peas  scallions  Served w rice ,Honey Pork Tender sliced pork loin marinated in garlic oil w tomatoes pineapple baby corn mushrooms snow peas  scallions  Served w rice
585,Tamarind Duck,Sauteed sliced boneless roast duck in sweet tamarind sauce w onions shredded ginger tomatoes baby corn mushrooms peppers snow peas pineapple scallions  Served w rice ,Tamarind Duck Sauteed sliced boneless roast duck in sweet tamarind sauce w onions shredded ginger tomatoes baby corn mushrooms peppers snow peas pineapple scallions  Served w rice
585,Seafood Combination,Shrimp squid  scallops mussel w broccoli celery mushrooms scallions cashew nuts in mild chili sauce  Served w rice ,Seafood Combination Shrimp squid  scallops mussel w broccoli celery mushrooms scallions cashew nuts in mild chili sauce  Served w rice
585,Duck Choo Chee,Sauteed sliced boneless roasted duck in thai hot choo chee curry w snow peas green peas onions tomatoes carrots zucchini summer squash peppers  basil leaves  Topped w chopped kaffir lime leaves served w rice ,Duck Choo Chee Sauteed sliced boneless roasted duck in thai hot choo chee curry w snow peas green peas onions tomatoes carrots zucchini summer squash peppers  basil leaves  Topped w chopped kaffir lime leaves served w rice
585,Suki Gai,Bean thread noodles w chicken egg napa cabbage  Served w or without broth ,Suki Gai Bean thread noodles w chicken egg napa cabbage  Served w or without broth
585,Kow Soi Gai,Flat egg noodles w chicken in light curry sauce ,Kow Soi Gai Flat egg noodles w chicken in light curry sauce
585,Yen Ta Four Seafood,Rice noodles w fish cake fish ball squid shrimp morning glory in red chicken broth ,Yen Ta Four Seafood Rice noodles w fish cake fish ball squid shrimp morning glory in red chicken broth
585,Salmon Panang,Grilled salmon topped w panang curry paste in coconut milk w peppers snow pease green peas green beans bamboo strips sweet basil leaves chick peas chopped kaffir lime leaves ,Salmon Panang Grilled salmon topped w panang curry paste in coconut milk w peppers snow pease green peas green beans bamboo strips sweet basil leaves chick peas chopped kaffir lime leaves
585,Pad Macaroni,Thai style macaroni w oregano onions green beans peppers tomatoes stir fried in house special tomato sauce w your choice of chicken beef pork or tofu ,Pad Macaroni Thai style macaroni w oregano onions green beans peppers tomatoes stir fried in house special tomato sauce w your choice of chicken beef pork or tofu
585,Angle Hair Kee Mow,Spicy pasta thai style w onions green beans tomatoes sweet basil leaves peppers hot pepper stir fried w your choice of chicken beef pork or tofu ,Angle Hair Kee Mow Spicy pasta thai style w onions green beans tomatoes sweet basil leaves peppers hot pepper stir fried w your choice of chicken beef pork or tofu
585,Woon Sen Pad Thai,Bean thread noodles stir fried w egg chicken shrimp bean sprout scallions ground peanuts ,Woon Sen Pad Thai Bean thread noodles stir fried w egg chicken shrimp bean sprout scallions ground peanuts
585,Basil Pad Thai,Rice noodles stir fried w egg shrimp squid scallops mussels scallions basil ,Basil Pad Thai Rice noodles stir fried w egg shrimp squid scallops mussels scallions basil
585,Seafood Pad Thai,Rice noodles stir fried w egg assorted seafood bean sprout scallions ground peanuts plus extra ingredient of spiced tofu bits minced turnips ,Seafood Pad Thai Rice noodles stir fried w egg assorted seafood bean sprout scallions ground peanuts plus extra ingredient of spiced tofu bits minced turnips
585,Noodles Aspar,Wide rice noodles w shrimp spear asparagus shitake mushroom  egg in light chef's special sauce ,Noodles Aspar Wide rice noodles w shrimp spear asparagus shitake mushroom  egg in light chef's special sauce
585,Paradise Noodles,Yellow noodles stir fried w shrimp fresh tofu peppers onions mushrooms bean sprout scallions ,Paradise Noodles Yellow noodles stir fried w shrimp fresh tofu peppers onions mushrooms bean sprout scallions
585,Pad Thai,A popular Thai noodle dish  rice noodles stir fried w egg chicken shrimp scallions bean spouts ground peanuts ,Pad Thai A popular Thai noodle dish  rice noodles stir fried w egg chicken shrimp scallions bean spouts ground peanuts
585,Pad Thai Country Style,An authentic spicy version of pad thai w egg chicken shrimp plus extra ingredients of spiced tofu bits turnips  A truly native dish ,Pad Thai Country Style An authentic spicy version of pad thai w egg chicken shrimp plus extra ingredients of spiced tofu bits turnips  A truly native dish
585,Vegetable Pad Thai,Rice noodles stir fried w assorted vegetables tofu egg ground peanuts  Available in country style ,Vegetable Pad Thai Rice noodles stir fried w assorted vegetables tofu egg ground peanuts  Available in country style
